Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;1;4;0.5;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;1;1;0.5;0.5
std-NetwerkPartitie;0;1;0;1
Opstarten;14;14;4;4
Connect;17;18;1;1
Disconnect;3;7;0.5;1
Berichten;8;8;1;1
BerichtNaVerandering;7;7;0.5;0.5
NetwerkPartitie;0;4;0;1
Fout in de locking;-;-;-2;-
BovenLimiet;0;1;0;1
Totaal;-;-;12;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
Standaard;Correct;3.45;Verbindingen aanleggen met C
Standaard;Correct;0.18;Berichten sturen in gewijzigd netwerk
Standaard;Incorrect;6.03;Verbindingen verbreken
Random;Correct;18.68;Opstarten netwerk
Random;Correct;1.05;Berichten sturen
Random;Correct;5.65;Verbindingen verbreken
Random;Correct;2.46;Verbindingen maken
Random;Correct;0.61;Berichten sturen in gewijzigd netwerk
Random;Correct;0.04;Routingtabelcheck (zijn buurnodes correct?)
2xStandaard;Correct;16.47;Opstarten netwerk
2xStandaard;Correct;7.36;Samenvoegen netwerken 1
2xStandaard;Correct;2.15;Samenvoegen netwerken 2
2xStandaard;Correct;1.08;Berichten sturen in samengevoegd netwerk
2xStandaard;Incorrect;5.84;Disconnects
Lijn-netwerk;Correct;14.66;Opstarten netwerk
Lijn-netwerk;Correct;1.05;Berichten sturen
Lijn-netwerk;Correct;5.67;Verbindingen maken
Lijn-netwerk;Incorrect;5.84;Verbindingen verbreken
Connected;Correct;18.68;Opstarten netwerk
Standaard;Correct;16.27;Opstarten netwerk
Standaard;Correct;0.54;Berichten sturen
Standaard;Correct;3.45;Verbindingen aanleggen met C
Standaard;Correct;0.18;Berichten sturen in gewijzigd netwerk
Standaard;Correct;11.27;Verbindingen verbreken
Standaard;Correct;0.04;Berichten sturen in gewijzigd netwerk
Standaard;Incorrect;5.42;Netwerk onsamenhangend maken
Random;Correct;19.48;Opstarten netwerk
Random;Correct;1.05;Berichten sturen
Random;Correct;5.65;Verbindingen verbreken
Random;Correct;2.26;Verbindingen maken
Random;Correct;0.58;Berichten sturen in gewijzigd netwerk
Random;Correct;0.04;Routingtabelcheck (zijn buurnodes correct?)
2xStandaard;Correct;16.67;Opstarten netwerk
2xStandaard;Correct;7.37;Samenvoegen netwerken 1
2xStandaard;Correct;2.15;Samenvoegen netwerken 2
2xStandaard;Correct;1.07;Berichten sturen in samengevoegd netwerk
2xStandaard;Incorrect;5.83;Disconnects
Lijn-netwerk;Correct;14.66;Opstarten netwerk
Lijn-netwerk;Correct;1.05;Berichten sturen
Lijn-netwerk;Correct;6.07;Verbindingen maken
Lijn-netwerk;Incorrect;5.83;Verbindingen verbreken

------------------------------------

1;Standaard;Correct;16.28;Opstarten netwerk
Test 1 - Standaard

WAARSCHUWING: de afstandupdates ('Afstand naar ... is nu ... via ...') worden mogelijk niet goed weergegeven!
Correct: opstarten geslaagd, R-tabel in orde.

Log
start CP2.exe 55500 55501 55502
start CP2.exe 55501 55500 55502
start CP2.exe 55502 55500 55501 55503 55504
start CP2.exe 55503 55502 55505
start CP2.exe 55504 55502 55505
start CP2.exe 55505 55503 55504
55502 < Verbonden: 55500
55501 < Verbonden: 55500
55500 < Client connects: 55502
55500 < Verbonden: 55501
55501 < Client connects: 55500
55503 < Verbonden: 55502
55502 < Client connects: 55503
55504 < Verbonden: 55502
55505 < Verbonden: 55503
55503 < Client connects: 55505
55502 < Verbonden: 55501
55501 < Verbonden: 55502
55501 < Client connects: 55502
55501 < //SendRT 55500
55501 < //SendRT 55502
55500 < Verbonden: 55502
55500 < Client connects: 55501
55503 < Verbonden: 55505
55500 < //ReadRT 55501
55505 < Client connects: 55503
55500 < //SendRT 55501
55500 < //SendRT 55502
55501 < //ReadRT 55500
55503 < //SendRT 55502
55503 < //SendRT 55505
55502 < //New: 55503
55502 < //New: 55502
55502 < //New: 55505
55505 < //New: 55503
55505 < //New: 55502
55505 < //New: 55505
55505 < Verbonden: 55504
55504 < Verbonden: 55505
55505 < Client connects: 55504
55504 < Client connects: 55505
55505 < //SendRT 55503
55505 < //SendRT 55504
55505 < //ReadRT 55503
55505 < //SendRT 55503
55503 < //ReadRT 55505
55504 < //SendRT 55502
55505 < //SendRT 55504
55503 < //New: 55504
55504 < //SendRT 55505
55505 < //ReadRT 55504
55503 < //SendRT 55502
55503 < //SendRT 55505
55505 < //ReadRT 55503
55503 < //ReadRT 55505
55504 < //New: 55503
55504 < //SendRT 55502
55504 < //SendRT 55505
55505 < //ReadRT 55504
55504 < //ReadRT 55505
55504 < //ReadRT 55505
55502 < Verbonden: 55503
55503 < Client connects: 55502
55502 < Client connects: 55504
55502 < //New: 55504
55500 < //New: 55503
55500 < //New: 55505
55500 < //New: 55504
55502 < //SendRT 55500
55502 < //SendRT 55501
55502 < //SendRT 55503
55500 < //SendRT 55501
55502 < //ReadRT 55503
55502 < //ReadRT 55503
55501 < //New: 55503
55500 < //SendRT 55502
55503 < //ReadRT 55502
55501 < //New: 55505
55500 < //ReadRT 55502
55501 < //New: 55504
55500 < //ReadRT 55501
55501 < //SendRT 55500
55501 < //SendRT 55502
55501 < //ReadRT 55502
55501 < //ReadRT 55500
55502 < Verbonden: 55504
55502 < //SendRT 55500
55500 < //ReadRT 55502
55502 < //SendRT 55501
55501 < //ReadRT 55502
55502 < Client connects: 55501
55504 < Client connects: 55502
55502 < //SendRT 55503
55503 < //ReadRT 55502
55504 < //ReadRT 55502
55502 < //SendRT 55504
55502 < //ReadRT 55504
55502 < //ReadRT 55504
55500 < //ReadRT 55502
55502 < //SendRT 55500
55502 < //ReadRT 55501
55501 < //ReadRT 55502
55502 < //SendRT 55501
55502 < //ReadRT 55501
55503 < //New: 55500
55502 < //SendRT 55503
55503 < //New: 55501
55503 < //SendRT 55502
55502 < //SendRT 55504
55502 < //ReadRT 55503
55504 < //New: 55500
55504 < //New: 55501
55505 < //New: 55500
55503 < //SendRT 55505
55504 < //SendRT 55502
55505 < //New: 55501
55503 < //ReadRT 55502
55504 < //SendRT 55505
55502 < //ReadRT 55504
55505 < //SendRT 55503
55503 < //ReadRT 55505
55504 < //ReadRT 55502
55505 < //SendRT 55504
55504 < //ReadRT 55505
55505 < //ReadRT 55503
55505 < //ReadRT 55504
55502 < Client connects: 55500
55502 < //ReadRT 55500
55502 < //ReadRT 55500
55500 > R
55501 > R
55502 > R
55503 > R
55504 > R
55505 > R
55500 < 55500 0 local
55501 < 55501 0 local
55503 < 55503 0 local
55502 < 55503 1 55503
55504 < 55504 0 local
55505 < 55503 1 55503
55500 < 55501 1 55501
55503 < 55502 1 55502
55501 < 55500 1 55500
55502 < 55502 0 local
55504 < 55502 1 55502
55505 < 55502 2 55503
55500 < 55502 1 55502
55503 < 55505 1 55505
55501 < 55502 1 55502
55502 < 55505 2 55503
55504 < 55505 1 55505
55505 < 55505 0 local
55500 < 55503 2 55502
55503 < 55504 2 55505
55501 < 55503 2 55502
55502 < 55504 1 55504
55504 < 55503 2 55505
55505 < 55504 1 55504
55500 < 55505 3 55502
55503 < 55500 2 55502
55501 < 55505 3 55502
55502 < 55500 1 55500
55504 < 55500 2 55502
55505 < 55500 3 55503
55500 < 55504 2 55502
55503 < 55501 2 55502
55501 < 55504 2 55502
55502 < 55501 1 55501
55504 < 55501 2 55502
55505 < 55501 3 55503

Process 55500:
Client connects: 55502
Verbonden: 55501
Verbonden: 55502
Client connects: 55501
//ReadRT 55501
//SendRT 55501
//SendRT 55502
//New: 55503
//New: 55505
//New: 55504
//SendRT 55501
//SendRT 55502
//ReadRT 55502
//ReadRT 55501
//ReadRT 55502
//ReadRT 55502
> R
55500 0 local
55501 1 55501
55502 1 55502
55503 2 55502
55505 3 55502
55504 2 55502

Process 55501:
Verbonden: 55500
Client connects: 55500
Verbonden: 55502
Client connects: 55502
//SendRT 55500
//SendRT 55502
//ReadRT 55500
//New: 55503
//New: 55505
//New: 55504
//SendRT 55500
//SendRT 55502
//ReadRT 55502
//ReadRT 55500
//ReadRT 55502
//ReadRT 55502
> R
55501 0 local
55500 1 55500
55502 1 55502
55503 2 55502
55505 3 55502
55504 2 55502

Process 55502:
Verbonden: 55500
Client connects: 55503
Verbonden: 55501
//New: 55503
//New: 55502
//New: 55505
Verbonden: 55503
Client connects: 55504
//New: 55504
//SendRT 55500
//SendRT 55501
//SendRT 55503
//ReadRT 55503
//ReadRT 55503
Verbonden: 55504
//SendRT 55500
//SendRT 55501
Client connects: 55501
//SendRT 55503
//SendRT 55504
//ReadRT 55504
//ReadRT 55504
//SendRT 55500
//ReadRT 55501
//SendRT 55501
//ReadRT 55501
//SendRT 55503
//SendRT 55504
//ReadRT 55503
//ReadRT 55504
Client connects: 55500
//ReadRT 55500
//ReadRT 55500
> R
55503 1 55503
55502 0 local
55505 2 55503
55504 1 55504
55500 1 55500
55501 1 55501

Process 55503:
Verbonden: 55502
Client connects: 55505
Verbonden: 55505
//SendRT 55502
//SendRT 55505
//ReadRT 55505
//New: 55504
//SendRT 55502
//SendRT 55505
//ReadRT 55505
Client connects: 55502
//ReadRT 55502
//ReadRT 55502
//New: 55500
//New: 55501
//SendRT 55502
//SendRT 55505
//ReadRT 55502
//ReadRT 55505
> R
55503 0 local
55502 1 55502
55505 1 55505
55504 2 55505
55500 2 55502
55501 2 55502

Process 55504:
Verbonden: 55502
Verbonden: 55505
Client connects: 55505
//SendRT 55502
//SendRT 55505
//New: 55503
//SendRT 55502
//SendRT 55505
//ReadRT 55505
//ReadRT 55505
Client connects: 55502
//ReadRT 55502
//New: 55500
//New: 55501
//SendRT 55502
//SendRT 55505
//ReadRT 55502
//ReadRT 55505
> R
55504 0 local
55502 1 55502
55505 1 55505
55503 2 55505
55500 2 55502
55501 2 55502

Process 55505:
Verbonden: 55503
Client connects: 55503
//New: 55503
//New: 55502
//New: 55505
Verbonden: 55504
Client connects: 55504
//SendRT 55503
//SendRT 55504
//ReadRT 55503
//SendRT 55503
//SendRT 55504
//ReadRT 55504
//ReadRT 55503
//ReadRT 55504
//New: 55500
//New: 55501
//SendRT 55503
//SendRT 55504
//ReadRT 55503
//ReadRT 55504
> R
55503 1 55503
55502 2 55503
55505 0 local
55504 1 55504
55500 3 55503
55501 3 55503

------------------------------------

1;Standaard;Correct;0.51;Berichten sturen
Test 1 - Standaard

Correct: Berichtcheck - van 55503 naar 55505
Correct: Berichtcheck - van 55504 naar 55503
Correct: Berichtcheck - van 55501 naar 55505
Correct: Berichtcheck - van 55501 naar 55500
Correct: Berichtcheck - van 55505 naar 55500

Log
55503 > B 55505 HOI0
55505 < HOI0
55504 > B 55503 HOI1
55505 < Bericht voor 55503 doorgestuurd naar 55503
55503 < HOI1
55501 > B 55505 HOI2
55502 < Bericht voor 55505 doorgestuurd naar 55503
55503 < Bericht voor 55505 doorgestuurd naar 55505
55505 < HOI2
55501 > B 55500 HOI3
55500 < HOI3
55505 > B 55500 HOI4
55503 < Bericht voor 55500 doorgestuurd naar 55502
55502 < Bericht voor 55500 doorgestuurd naar 55500
55500 < HOI4

Process 55500:
HOI3
HOI4

Process 55501:
> B 55505 HOI2
> B 55500 HOI3

Process 55502:
Bericht voor 55505 doorgestuurd naar 55503
Bericht voor 55500 doorgestuurd naar 55500

Process 55503:
> B 55505 HOI0
HOI1
Bericht voor 55505 doorgestuurd naar 55505
Bericht voor 55500 doorgestuurd naar 55502

Process 55504:
> B 55503 HOI1

Process 55505:
HOI0
Bericht voor 55503 doorgestuurd naar 55503
HOI2
> B 55500 HOI4

------------------------------------

1;Standaard;Correct;3.43;Verbindingen aanleggen met C
Test 1 - Standaard

Verbinding van 0 naar 3 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55505 naar 55500
Verbinding van 5 naar 1 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55502 naar 55501

Log
55500 > C 55503
55500 < Verbonden: 55503
55500 < //SendRT 55501
55501 < //ReadRT 55500
55500 < //SendRT 55502
55502 < //ReadRT 55500
55503 < Client connects: 55500
55500 < //SendRT 55503
55503 < Afstand naar 55500 is nu 1 via 55500
55503 < Verbonden: 55500
55503 < //SendRT 55502
55502 < //ReadRT 55503
55503 < //SendRT 55505
55505 < Afstand naar 55500 is nu 2 via 55503
55503 < //SendRT 55500
55505 < //SendRT 55503
55503 < //ReadRT 55500
55505 < //SendRT 55504
55505 < //ReadRT 55503
55503 < //ReadRT 55505
55504 < //ReadRT 55505
55500 < Client connects: 55503
55500 < Afstand naar 55503 is nu 1 via 55503
55500 < Afstand naar 55505 is nu 2 via 55503
55500 < //SendRT 55501
55501 < //ReadRT 55500
55500 < //SendRT 55502
55502 < //ReadRT 55500
55500 < //SendRT 55503
55503 < //ReadRT 55500
55500 < //ReadRT 55503
55505 > B 55500 HOI5
55503 < Bericht voor 55500 doorgestuurd naar 55500
55500 < HOI5
55505 > C 55501
55505 < Verbonden: 55501
55503 < //ReadRT 55505
55505 < //SendRT 55503
55504 < //ReadRT 55505
55505 < //SendRT 55504
55505 < //SendRT 55501
55501 < Client connects: 55505
55501 < Afstand naar 55505 is nu 1 via 55505
55502 > B 55501 HOI6
55501 < HOI6

Process 55500:
> C 55503
Verbonden: 55503
//SendRT 55501
//SendRT 55502
//SendRT 55503
Client connects: 55503
Afstand naar 55503 is nu 1 via 55503
Afstand naar 55505 is nu 2 via 55503
//SendRT 55501
//SendRT 55502
//SendRT 55503
//ReadRT 55503
HOI5

Process 55501:
//ReadRT 55500
//ReadRT 55500
Client connects: 55505
Afstand naar 55505 is nu 1 via 55505
HOI6

Process 55502:
//ReadRT 55500
//ReadRT 55503
//ReadRT 55500
> B 55501 HOI6

Process 55503:
Client connects: 55500
Afstand naar 55500 is nu 1 via 55500
Verbonden: 55500
//SendRT 55502
//SendRT 55505
//SendRT 55500
//ReadRT 55500
//ReadRT 55505
//ReadRT 55500
Bericht voor 55500 doorgestuurd naar 55500
//ReadRT 55505

Process 55504:
//ReadRT 55505
//ReadRT 55505

Process 55505:
Afstand naar 55500 is nu 2 via 55503
//SendRT 55503
//SendRT 55504
//ReadRT 55503
> B 55500 HOI5
> C 55501
Verbonden: 55501
//SendRT 55503
//SendRT 55504
//SendRT 55501

------------------------------------

1;Standaard;Correct;0.15;Berichten sturen in gewijzigd netwerk
Test 1 - Standaard

Verbinding van 0 naar 3 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55505 naar 55500
Verbinding van 5 naar 1 gemaakt.
Correct: na verandering klopt netwerk weer.
Correct: Berichtcheck - van 55502 naar 55501

Log
55500 > C 55503
55500 < Verbonden: 55503
55500 < //SendRT 55501
55501 < //ReadRT 55500
55500 < //SendRT 55502
55502 < //ReadRT 55500
55503 < Client connects: 55500
55500 < //SendRT 55503
55503 < Afstand naar 55500 is nu 1 via 55500
55503 < Verbonden: 55500
55503 < //SendRT 55502
55502 < //ReadRT 55503
55503 < //SendRT 55505
55505 < Afstand naar 55500 is nu 2 via 55503
55503 < //SendRT 55500
55505 < //SendRT 55503
55503 < //ReadRT 55500
55505 < //SendRT 55504
55505 < //ReadRT 55503
55503 < //ReadRT 55505
55504 < //ReadRT 55505
55500 < Client connects: 55503
55500 < Afstand naar 55503 is nu 1 via 55503
55500 < Afstand naar 55505 is nu 2 via 55503
55500 < //SendRT 55501
55501 < //ReadRT 55500
55500 < //SendRT 55502
55502 < //ReadRT 55500
55500 < //SendRT 55503
55503 < //ReadRT 55500
55500 < //ReadRT 55503
55505 > B 55500 HOI5
55503 < Bericht voor 55500 doorgestuurd naar 55500
55500 < HOI5
55505 > C 55501
55505 < Verbonden: 55501
55503 < //ReadRT 55505
55505 < //SendRT 55503
55504 < //ReadRT 55505
55505 < //SendRT 55504
55505 < //SendRT 55501
55501 < Client connects: 55505
55501 < Afstand naar 55505 is nu 1 via 55505
55502 > B 55501 HOI6
55501 < HOI6

Process 55500:
> C 55503
Verbonden: 55503
//SendRT 55501
//SendRT 55502
//SendRT 55503
Client connects: 55503
Afstand naar 55503 is nu 1 via 55503
Afstand naar 55505 is nu 2 via 55503
//SendRT 55501
//SendRT 55502
//SendRT 55503
//ReadRT 55503
HOI5

Process 55501:
//ReadRT 55500
//ReadRT 55500
Client connects: 55505
Afstand naar 55505 is nu 1 via 55505
HOI6

Process 55502:
//ReadRT 55500
//ReadRT 55503
//ReadRT 55500
> B 55501 HOI6

Process 55503:
Client connects: 55500
Afstand naar 55500 is nu 1 via 55500
Verbonden: 55500
//SendRT 55502
//SendRT 55505
//SendRT 55500
//ReadRT 55500
//ReadRT 55505
//ReadRT 55500
Bericht voor 55500 doorgestuurd naar 55500
//ReadRT 55505

Process 55504:
//ReadRT 55505
//ReadRT 55505

Process 55505:
Afstand naar 55500 is nu 2 via 55503
//SendRT 55503
//SendRT 55504
//ReadRT 55503
> B 55500 HOI5
> C 55501
Verbonden: 55501
//SendRT 55503
//SendRT 55504
//SendRT 55501

------------------------------------

1;Standaard;Incorrect;5.79;Verbindingen verbreken
Test 1 - Standaard

Fout bij opnieuw berekenen netwerk - de routing-tabel is incorrect.
Verbinding van 0 naar 3 verbroken.
De afstand van 55503 naar 55500 is niet correct (programma denkt 3 moet 2 zijn).

Log
55500 > D 55503
55503 < //Connection broken with port 55500
55500 < //Connection broken with port 55503
55501 < 1111
55502 < 1111
55500 < Verbroken: 55503
55505 < 1111
55504 < 1111
55502 < 1111
55503 < gottem
55502 < gottem
55501 < gottem
55500 < gottem
55503 < gottem
55505 < gottem
55502 < gottem
55501 < //SendRT 55502
55503 < //SendRT 55505
55504 < gottem
55500 < //SendRT 55502
55505 < gottem
55502 < gottem
55500 < gottem
55503 < //SendRT 55502
55501 < gottem
55504 < gottem
55505 < //SendRT 55504
55500 < //SendRT 55502
55502 < //SendRT 55504
55501 < //SendRT 55502
55504 < //SendRT 55502
55505 < //SendRT 55503
55502 < //SendRT 55500
55504 < //SendRT 55505
55500 < //New: 55503
55505 < //ReadRT 55503
55503 < //ReadRT 55505
55502 < //SendRT 55503
55504 < //ReadRT 55505
55500 < //New: 55505
55505 < //New: 55500
55502 < //ReadRT 55501
55505 < //SendRT 55503
55500 < //SendRT 55501
55502 < //ReadRT 55501
55505 < //SendRT 55504
55500 < //SendRT 55502
55502 < //ReadRT 55500
55503 < //New: 55500
55500 < //ReadRT 55502
55505 < //SendRT 55501
55502 < //ReadRT 55500
55504 < //ReadRT 55505
55503 < //SendRT 55502
55505 < //ReadRT 55504
55502 < //ReadRT 55503
55503 < //SendRT 55505
55502 < //ReadRT 55504
55505 < //ReadRT 55503
55503 < //ReadRT 55505
55502 < //ReadRT 55500
55502 < //ReadRT 55503
55503 < //Connection with port 55502 broke unexpectedly
55504 < //Connection with port 55502 broke unexpectedly
55504 < //Connection with port 55502 regained
55503 < //Connection with port 55502 regained
55504 < gottem
55502 < //ReadRT 55504
55504 < //SendRT 55502
55501 < Verbonden: 55505
55501 < //SendRT 55500
55501 < //SendRT 55502
55501 < //SendRT 55505
55500 < Afstand naar 55505 is nu 2 via 55501
55501 < //ReadRT 55505
55502 < //ReadRT 55501
55501 < 1111
55500 < //SendRT 55501
55502 < gottem
55500 < //SendRT 55502
55502 < //SendRT 55501
55500 < //ReadRT 55501
55502 < //ReadRT 55500
55500 < gottem
55501 < gottem
55500 < //SendRT 55501
55501 < //SendRT 55500
55500 < //ReadRT 55501
55501 < //ReadRT 55500
55501 < //ReadRT 55500
55501 < //ReadRT 55502
55501 < //ReadRT 55500
55505 < Client connects: 55501
55505 < Afstand naar 55501 is nu 1 via 55501
55505 < Afstand naar 55500 is nu 2 via 55501
55505 < //SendRT 55503
55503 < Afstand naar 55500 is nu 3 via 55505
55503 < //SendRT 55502
55505 < //SendRT 55504
55503 < //SendRT 55505
55505 < //SendRT 55501
55503 < //ReadRT 55505
55504 < //ReadRT 55505
55505 < //ReadRT 55501
55502 < //ReadRT 55503
55505 < gottem
55505 < //SendRT 55501
55505 < //ReadRT 55503
55500 < gottem
55502 < gottem
55505 < gottem
55501 < gottem
55502 < //SendRT 55501
55500 < //SendRT 55501
55505 < //SendRT 55501
55501 < //SendRT 55505
55501 < //ReadRT 55505
55505 < //ReadRT 55501
55501 < //ReadRT 55502
55501 < //ReadRT 55505
55501 < //ReadRT 55505
55501 < //ReadRT 55500
55501 < //ReadRT 55505
55500 > R
55501 > R
55502 > R
55503 > R
55500 < 55500 0 local
55504 > R
55505 > R
55501 < 55501 0 local
55502 < 55503 1 55503
55503 < 55503 0 local
55500 < 55501 1 55501
55504 < 55504 0 local
55505 < 55503 1 55503
55502 < 55502 0 local
55501 < 55500 1 55500
55503 < 55502 1 55502
55500 < 55502 1 55502
55504 < 55502 1 55502
55505 < 55502 2 55503
55502 < 55505 2 55503
55501 < 55502 1 55502
55503 < 55505 1 55505
55500 < 55505 2 55501
55504 < 55505 1 55505
55505 < 55505 0 local
55502 < 55504 1 55504
55501 < 55503 2 55502
55503 < 55504 2 55505
55500 < 55503 2 55502
55504 < 55503 2 55505
55505 < 55504 1 55504
55502 < 55500 1 55500
55501 < 55505 1 55505
55503 < 55500 3 55505
55500 < 55504 2 55502
55504 < 55500 2 55502
55505 < 55500 2 55501
55502 < 55501 1 55501
55501 < 55504 2 55502
55503 < 55501 2 55502
55504 < 55501 2 55502
55505 < 55501 1 55501

Process 55500:
> D 55503
//Connection broken with port 55503
Verbroken: 55503
gottem
//SendRT 55502
gottem
//SendRT 55502
//New: 55503
//New: 55505
//SendRT 55501
//SendRT 55502
//ReadRT 55502
Afstand naar 55505 is nu 2 via 55501
//SendRT 55501
//SendRT 55502
//ReadRT 55501
gottem
//SendRT 55501
//ReadRT 55501
gottem
//SendRT 55501
> R
55500 0 local
55501 1 55501
55502 1 55502
55505 2 55501
55503 2 55502
55504 2 55502

Process 55501:
1111
gottem
//SendRT 55502
gottem
//SendRT 55502
Verbonden: 55505
//SendRT 55500
//SendRT 55502
//SendRT 55505
//ReadRT 55505
1111
gottem
//SendRT 55500
//ReadRT 55500
//ReadRT 55500
//ReadRT 55502
//ReadRT 55500
gottem
//SendRT 55505
//ReadRT 55505
//ReadRT 55502
//ReadRT 55505
//ReadRT 55505
//ReadRT 55500
//ReadRT 55505
> R
55501 0 local
55500 1 55500
55502 1 55502
55503 2 55502
55505 1 55505
55504 2 55502

Process 55502:
1111
1111
gottem
gottem
gottem
//SendRT 55504
//SendRT 55500
//SendRT 55503
//ReadRT 55501
//ReadRT 55501
//ReadRT 55500
//ReadRT 55500
//ReadRT 55503
//ReadRT 55504
//ReadRT 55500
//ReadRT 55503
//ReadRT 55504
//ReadRT 55501
gottem
//SendRT 55501
//ReadRT 55500
//ReadRT 55503
gottem
//SendRT 55501
> R
55503 1 55503
55502 0 local
55505 2 55503
55504 1 55504
55500 1 55500
55501 1 55501

Process 55503:
//Connection broken with port 55500
gottem
gottem
//SendRT 55505
//SendRT 55502
//ReadRT 55505
//New: 55500
//SendRT 55502
//SendRT 55505
//ReadRT 55505
//Connection with port 55502 broke unexpectedly
//Connection with port 55502 regained
Afstand naar 55500 is nu 3 via 55505
//SendRT 55502
//SendRT 55505
//ReadRT 55505
> R
55503 0 local
55502 1 55502
55505 1 55505
55504 2 55505
55500 3 55505
55501 2 55502

Process 55504:
1111
gottem
gottem
//SendRT 55502
//SendRT 55505
//ReadRT 55505
//ReadRT 55505
//Connection with port 55502 broke unexpectedly
//Connection with port 55502 regained
gottem
//SendRT 55502
//ReadRT 55505
> R
55504 0 local
55502 1 55502
55505 1 55505
55503 2 55505
55500 2 55502
55501 2 55502

Process 55505:
1111
gottem
gottem
//SendRT 55504
//SendRT 55503
//ReadRT 55503
//New: 55500
//SendRT 55503
//SendRT 55504
//SendRT 55501
//ReadRT 55504
//ReadRT 55503
Client connects: 55501
Afstand naar 55501 is nu 1 via 55501
Afstand naar 55500 is nu 2 via 55501
//SendRT 55503
//SendRT 55504
//SendRT 55501
//ReadRT 55501
gottem
//SendRT 55501
//ReadRT 55503
gottem
//SendRT 55501
//ReadRT 55501
> R
55503 1 55503
55502 2 55503
55505 0 local
55504 1 55504
55500 2 55501
55501 1 55501

------------------------------------

2;Random;Correct;18.47;Opstarten netwerk
Test 2 - Random

WAARSCHUWING: de afstandupdates ('Afstand naar ... is nu ... via ...') worden mogelijk niet goed weergegeven!
Correct: opstarten geslaagd, R-tabel in orde.

Log
start CP2.exe 55500 55501 55502 55503 55506 55507
start CP2.exe 55501 55500 55502 55504 55505 55506
start CP2.exe 55502 55500 55501 55504
start CP2.exe 55503 55500 55504 55505 55506 55508
start CP2.exe 55504 55501 55502 55503 55506
start CP2.exe 55505 55501 55503 55506
